A,participant_id,age,gender,reaction_time,stimuli_id,condition,pause_length,pause_onset,pause_type,stimuli_length,stimuli_onset,replaced,target,handedness,silent
180,4,24,man,0.39317953400004,24,exp1,0.621563000000009,2.67342600000001,silent,0.616265000000027,3.32147599999999,ehm,pastasalladen,90,True
181,4,24,man,0.504650074999887,20,exp1,0.712501000000003,1.616593,silent,0.162453999999997,2.405024,ehm,gå,90,True
182,4,24,man,0.601499982000035,7,exp1,0.327556000000001,2.509206,silent,0.554462000000001,2.842501,öh,igår,90,True
183,4,24,man,0.38568697299992,15,exp1,0.692194999999998,2.01301599999999,silent,0.826396000000003,2.775843,ehm,rastlös,90,True
184,4,24,man,0.462555677999959,19,exp1,0.596841999999995,2.797032,ehm,0.20306699999999,3.63755500000001,silence,men,90,False
185,4,24,man,0.39632227900006,119,exp1,0.318945999999983,2.62303299999996,öh,0.334744000000001,2.94197899999995,silence,jobb,90,False
186,4,24,man,0.457277728000023,21,exp1,0.678069000000008,3.05130799999999,silent,0.490893999999997,3.79471099999999,ehm,suger,90,True
187,4,24,man,0.618889250999927,120,exp1,0.349036000000069,0.916218999999956,silent,0.142923999999994,1.27127300000007,öh,känner,90,True
188,4,24,man,0.501444868999869,26,exp1,0.590440000000001,1.542429,ehm,0.347864000000016,2.140815,silence,skulle,90,False
189,4,24,man,0.434621879000053,3,exp1,0.442631,2.499047,silent,0.374421,2.947483,öh,mitt,90,True
190,4,24,man,0.521885009999835,28,exp1,0.653346999999997,2.21431699999999,ehm,0.522677000000016,2.895917,silence,kanske,90,False
191,4,24,man,0.458423927000097,18,exp1,0.529741000000001,3.48569500000001,ehm,0.247212000000005,4.043689,silence,så,90,False
192,4,24,man,0.551063120999906,12,exp1,0.358458999999996,1.09435600000001,öh,0.155391000000002,1.744172,silence,vad,90,False
193,4,24,man,0.697766372000047,96,exp2,0.717641999999955,1.52018199999998,ehm,0.595011999999997,2.31328799999994,silence,djur,90,False
195,4,24,man,0.806373170999904,90,exp2,0.258321999999964,2.59918400000004,silent,0.461497000000009,2.86766399999999,öh,djur,90,True
197,4,24,man,1.09583210899996,110,exp2,0.406349999999975,2.46712000000002,silent,0.743037999999956,2.90830000000005,öh,teknologi,90,True
199,4,24,man,1.16352439800005,102,exp2,0.426666999999952,1.99111100000005,silent,0.986848000000009,2.44825400000002,öh,fordon,90,True
200,4,24,man,0.9189170840001,94,exp2,0.444080999999983,1.399002,öh,0.51519200000007,1.93160999999998,silence,djur,90,False
201,4,24,man,1.04111278199991,115,exp2,0.510839000000033,1.60798199999999,silent,1.09133799999995,2.14204100000006,ehm,teknologi,90,True
